date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:52	4370/4370	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Mar%202018%2013:58:23%20GMT	http://horstmann.com/sjsu/spring2018/cs152/midterm/practice.html	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/midterm/practice.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:52	11008/11008	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Mar%202018%2000:35:37%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture10/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture10/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:52	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:53%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture15	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture15	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:52	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:53%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture16	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture16	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:52	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Mar%202018%2003:33:53%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture17	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture17	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:53	26455/26455	---M--	200	added ('OK')	text/html	etag:%226757-55dec90645d9d%22	http://info.sjsu.edu/web-dbgen/catalog/departments/CS-courses.html	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/info.sjsu.edu/web-dbgen/catalog/departments/CS-courses.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:53	2520/2520	---M--	200	added ('OK')	text/html	date:Wed,%2028%20Feb%202018%2021:49:03%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw5/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw5/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:53	10725/10725	---M--	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2019:07:24%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture11/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture11/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:53	583/583	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Mar%202018%2003:33:54%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw1.html	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw1.1f.delayed	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:53	583/583	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Mar%202018%2003:33:54%20GMT	http://horstmann.com/sjsu/spring2018/cs152/www.sjsu.edu/senate/S12-3.pdf	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/www.sjsu.edu/senate/S12-3.pdf	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:54	70852/70852	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202018%2003:33:54%20GMT	http://www.oracle.com/technetwork/java/javase/downloads/index.html	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/www.oracle.com/technetwork/java/javase/downloads/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:54	11351/11351	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Mar%202018%2019:45:26%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture12/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture12/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:54	5282/5282	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Mar%202018%2013:03:25%20GMT	http://horstmann.com/sjsu/spring2018/cs152/hw6/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/hw6/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:55	8897/8897	---M--	200	added ('OK')	text/html	date:Mon,%2005%20Mar%202018%2023:17:22%20GMT	http://horstmann.com/sjsu/spring2018/cs152/lecture13/	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/horstmann.com/sjsu/spring2018/cs152/lecture13/index.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
20:33:55	10118/10118	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202018%2011:48:22%20GMT	http://scala-ide.org/download/sdk.html	C:/Users/rooke/Projects/cs152/websiteCopy/Horstmann152WebsiteCopy/scala-ide.org/download/sdk.html	(from http://horstmann.com/sjsu/spring2018/cs152/)
